"STAR_NUMBER":"Star":"Distance From The Sun":"EQUIVALENT TEMPERATURE":"RELATIVE MASS":"Radius":"luminosity":"stellar type"
6783:"Quanticus":63,1:3264:0,1:0,27:0:"M:2:V"
8750:"Tejat":194:3906:0,7:0,75:0,35:"K:7:V"
8850:"Achird":28,49:4296:0,5:0,85:0,6:"K:2:V"
5548:"Fjordr":7140:2799:0,3:0,17:0,07:"M:6:V"
3712:"Lerna":399:3262:0,3:0,33:0,03:"M:3:V"
5648:"Azmidi":313,14:3834:0,7:0,84:0,54:"K:5:V"
6726:"Nebulithra":140,8:2419:0,2:0,13:0,04:"M:7:V"
6518:"Ecliptix":338,8:2915:0,3:0,24:0,03:"M:5:V"
8111:"Suhail":197,4:4561:0,7:0,81:0,28:"K:3:V"
2705:"Alula Australis":1155,94:2536:0,2:0,18:0,01:"M:3:V"
320:"Salm":571,47:3000:0,1:0,52:0,01:"M:2:V"
2956:"Ronin's Cascade":275,694:3835:0,5:0,74:0,08:"K:2:V"
9584:"Canopus":48,249:3240:0,2:0,13:0,07:"M:1:V"
2947:"Aspidiske":272,2:4327:0,7:0,82:0,45:"K:5:V"
4832:"Acrux":866,701:2876:0,3:0,26:0,06:"M:2:V"
894:"Kachō":1322,4:3922:0,6:0,71:0,2:"K:5:V"
7313:"Cosmic Enigma":37,44:4061:0,7:0,79:0,53:"K:5:V"
4178:"Ra's Ascendance":1057,64:4566:0,5:0,83:0,19:"K:3:V"
6:"Nova Prism":465,992:3309:0,2:0,53:0,07:"M:2:V"
2942:"Nusakan":174,219:4324:0,6:0,94:0,13:"K:5:V"
7856:"Veritate":54,3258:2968:0,1:0,51:0,05:"M:2:V"
7962:"Procyon":88,6:3198:0,4:0,11:0,07:"M:3:V"
2899:"Furud":296,63:2783:0,4:0,05:0,01:"M:2:V"
3479:"Seth's Enigma":426,57:5535:0,9:1,08:0,76:"G:2:V"
6095:"Dubhe":71,3:4171:0,7:0,84:0,12:"K:0:V"
9516:"Quasarionix":1383,9:2779:0,4:0,46:0,01:"M:0:V"
9863:"Spectronix":134,9:2496:0,1:0,3:0,03:"M:3:V"
7270:"Oborozuki":287,274:3903:0,5:0,87:0,27:"K:2:V"
2287:"Zibal":17,8:3162:0,4:0,47:0:"M:2:V"
107:"Aludra":337,11:2792:0,4:0,4:0,06:"M:4:V"
3915:"Tureis":184,8:2466:0,1:0:0,06:"M:3:V"
7030:"Hikari Gaze":771,7:2418:0,2:0,06:0,04:"M:5:V"
135:"Bellatrix":29,69:3741:0,6:0,89:0,53:"K:7:V"
6320:"Avior":75,1691:2529:0,2:0,55:0,02:"M:8:V"
8476:"Enishi Resonance":621,581:2926:0,4:0,47:0:"M:2:V"
7766:"Spectral Veil":212,48:2861:0,3:0,14:0,03:"M:3:V"
3114:"Jishui":612,803:3352:0,2:0,37:0,06:"M:0:V"
496:"Sadachbia":59,5:2485:0,3:0,09:0,07:"M:3:V"
5423:"Selene's Whimsy":1874,41:2562:0,1:0,52:0,08:"M:3:V"
5460:"Rasalhague":415,67:3263:0,4:0,19:0,08:"M:2:V"
3482:"Ginan":369,8:3221:0,4:0,51:0,05:"M:2:V"
1652:"Solaraether":919,62:3256:0,1:0,52:0,06:"M:2:V"
7908:"Titanium Quasar":1419,23:2976:0,2:0,19:0,01:"M:2:V"
8350:"Geisha's Mirage":539,35:4172:0,6:0,81:0,2:"K:2:V"
3113:"Aquilan Anomaly":1834,86:3098:0,3:0,16:0,07:"M:2:V"
914:"Menkib":6220:2707:0,3:0,52:0:"M:5:V"
6063:"Tamashī Labyrinth":4200:3274:0,3:0,58:0,05:"M:1:V"
285:"Tōku Echoes":935,191:3134:0,4:0,43:0,02:"M:2:V"
8276:"Mintaka":828,844:2827:0,2:0,63:0,02:"M:5:V"
2908:"Okab":246,263:3274:0,3:0,37:0,05:"M:2:V"
466:"Cryptic Mirage":77,76:3862:0,7:0,87:0,27:"K:6:V"
1617:"Galaxara":122,4:3931:0,7:0,79:0,52:"K:0:V"
4410:"Mikado Serenity":54,08:5407:0,9:0,98:0,77:"G:4:V"
6841:"Nebulous Enigma":606,992:2481:0,2:0,5:0,02:"M:5:V"
9736:"Lurking Cosmos":1771,31:4842:0,5:0,86:0,13:"K:0:V"
7572:"Ombraflux":282,358:3832:0,6:0,7:0,6:"K:6:V"
7329:"Tevel":455,685:5635:0,8:1:1,34:"G:2:V"
7581:"Hoggar":1252,13:2465:0,4:0,29:0,05:"M:8:V"
6653:"Hikari Nebula":861,252:4323:0,8:0,75:0,24:"K:2:V"
2596:"Geminga":887,81:2512:0,3:0,3:0,08:"M:5:V"
4782:"Albaldah":594,1:3943:0,7:0,85:0,23:"K:3:V"
5142:"Quantronix":171,6:2993:0,2:0,53:0,08:"M:3:V"
8797:"Ayame Cascade":650:2533:0,2:0,08:0,05:"M:2:V"
1796:"Cassionara":121,61:2635:0,3:0,69:0,08:"M:3:V"
5150:"Grumium":956,938:3736:0,7:0,93:0,56:"K:6:V"
8939:"Pulsar Radiance":56,518:4075:0,5:0,83:0,43:"K:5:V"
6342:"Lucilinburhuc":923,551:2565:0,4:0,19:0,01:"M:0:V"
9303:"Pharaoh's Silence":4240:2536:0,4:0,03:0,03:"M:3:V"
1645:"La Superba":158:5526:0,9:0,99:1,23:"G:5:V"
9177:"Zubenelgenubi":1152,7378:3340:0,2:0,69:0,08:"M:1:V"
2124:"Timir":1507,84:3839:0,5:0,77:0,12:"K:7:V"
977:"Alfirk":182,207:3876:0,5:0,92:0,34:"K:5:V"
2699:"Starglow Haven":360,408:2682:0,3:0,5:0,02:"M:4:V"
4199:"Samurai's Veil":766,636:3079:0,1:0,5:0,07:"M:1:V"
2552:"Pherkad":3,83:3489:0,4:0,48:0,01:"M:1:V"
6979:"Skat":6710:5387:1:1,1:1,22:"G:2:V"
4055:"Starlight Whisper":134,833:2841:0,2:0,02:0,08:"M:1:V"
897:"Unurgunite":254,14:2679:0,1:0,38:0,02:"M:0:V"
3045:"Tojil":163,23:2875:0,1:0,12:0:"M:1:V"
8324:"Arcturus":76,32:2508:0,2:0,6:0,05:"M:8:V"
6338:"Yozora":893,336:2992:0,2:0,25:0,07:"M:2:V"
4357:"Crimson Void":313,6:3778:0,7:0,9:0,23:"K:7:V"
7499:"Umbral Silence":240:4303:0,5:0,88:0,18:"K:0:V"
6265:"Tislit":30,55:2780:0,2:0,52:0,03:"M:5:V"
7453:"Solstara":622:3712:0,7:0,92:0,55:"K:3:V"
5385:"Infinite Iris":145,8:3308:0,2:0,39:0,07:"M:2:V"
1246:"Nile Celestial":502,28:2401:0,1:0,19:0,05:"M:8:V"
5636:"Alchiba":264,4:4178:0,7:0,9:0,25:"K:6:V"
1067:"Mimosa":160,2:2654:0,3:0,48:0,03:"M:7:V"
7557:"Zephyrion":18,23817:3542:0,3:0,09:0,05:"M:1:V"
2938:"Lurking Whispers":1167,82:2938:0,3:0,13:0,05:"M:3:V"
2088:"Taika":1238,24:5564:0,9:1,07:1,09:"G:4:V"
5203:"Quasar Nova":84,5362:3317:0,3:0,19:0,02:"M:1:V"
8228:"Stellar Whisper":81,1376:3081:0,3:0,45:0,01:"M:3:V"
3537:"Setsuna":991,22:2411:0,4:0,61:0,01:"M:5:V"
7727:"Obsidian Threshold":428,514:2763:0,1:0,08:0,06:"M:5:V"
2150:"Stormweaver":341,9:4379:0,7:0,84:0,23:"K:3:V"
256:"Celestial Mirage":19,8:2655:0,3:0,04:0,05:"M:7:V"
913:"Etherionara":175,84:2449:0,1:0,09:0,05:"M:5:V"
4611:"Liesma":542,69:5597:0,9:1,14:0,81:"G:2:V"
3688:"Stellarastra":65:2527:0,3:0,57:0,07:"M:7:V"
5279:"Sarin":457,7:5475:0,9:1,01:0,99:"G:5:V"
259:"Reikon Resonance":52,8:3852:0,5:0,74:0,1:"K:2:V"
6240:"Lunaris":245,5:2835:0,1:0,16:0,05:"M:0:V"
4823:"Hunahpú":277,7:3849:0,7:0,73:0,51:"K:2:V"
6239:"Nebula Nova":285,91:2854:0,2:0,33:0,04:"M:3:V"
9114:"Pulsar Seraph":6,21:3424:0,4:0,62:0,06:"M:0:V"
8303:"Paikauhale":417,6:2711:0,3:0,39:0,02:"M:6:V"
3221:"Ankh Horizon":1026,8:2572:0,3:0,25:0,03:"M:1:V"
8252:"Kaus Borealis":499,9:2744:0,2:0,37:0:"M:2:V"
6767:"Schedar":660,75:2609:0,3:0,63:0,04:"M:3:V"
4972:"Nocturne Echo":114:2784:0,3:0:0,06:"M:5:V"
3123:"Nova Cascade":4490:3704:0,8:0,75:0,37:"K:2:V"
7229:"Phantasmal Abyss":1484,78:4000:0,8:0,83:0,48:"K:0:V"
6448:"Frostbeard":613,20279:3957:0,5:0,88:0,16:"K:3:V"
697:"Celestara":7900:2830:0,2:0,02:0,02:"M:5:V"
5228:"Vega":17,64:2959:0,1:0,23:0,04:"M:3:V"
6722:"Eaglecrest":278,2:2534:0,3:0,48:0:"M:4:V"
4921:"Rana":623:4193:0,8:0,79:0,15:"K:0:V"
2372:"Nebulae Cipher":66,9071:5246:1:1,09:0,94:"G:2:V"
7775:"Sadalmelik":52,38:3434:0,3:0,43:0,07:"M:1:V"
6765:"Sheliak":1011,12:3020:0,2:0,61:0,07:"M:4:V"
7964:"Ninja's Horizon":1622,85:2869:0,2:0,43:0,01:"M:0:V"
8177:"Tianyi":352,783:5305:0,8:1,08:0,9:"G:5:V"
7748:"Stellarastrum":4500:2697:0,2:0,37:0,08:"M:2:V"
2042:"Hadar":600:3025:0,3:0,66:0,02:"M:4:V"
5375:"Thunderhoof":625,547:2451:0,1:0,43:0,06:"M:5:V"
5898:"Tania Australis":282,4:2497:0,1:0,12:0,05:"M:7:V"
540:"Piautos":197,2:3873:0,6:0,93:0,2:"K:5:V"
9706:"Berehynia":1569,37:5674:0,8:1,02:0,82:"G:2:V"
6972:"Sekhmet's Mirage":41,906:4414:0,7:0,74:0,35:"K:2:V"
1654:"Quasar Seraph":59,4:3322:0,2:0,41:0,02:"M:1:V"
9337:"Mjoltr":1111,85:2838:0,1:0,59:0,07:"M:3:V"
2057:"Celestial Cascade":1004,82:2609:0,2:0,66:0:"M:5:V"
5161:"Eonix":1823,49:2522:0,2:0,7:0,05:"M:7:V"
2250:"Praecipua":410:2975:0,4:0,43:0,03:"M:3:V"
9368:"Kaze Celestial":422,02:3815:0,8:0,73:0,59:"K:0:V"
7333:"Quasarionara":41,4:3072:0,4:0,63:0,07:"M:2:V"
4368:"Propus":367,56:2415:0,1:0,64:0,02:"M:6:V"
3586:"Natasha":399,313:2514:0,4:0,51:0,01:"M:8:V"
2707:"Quantum Gaze":1394,65:3025:0,4:0,07:0,04:"M:2:V"
758:"Hamal":873,85:2716:0,2:0,33:0,03:"M:1:V"
3878:"Albali":79,7634:2667:0,3:0,35:0,02:"M:7:V"
1994:"Merak":50,23:3297:0,2:0,28:0,07:"M:2:V"
9196:"Ra's Whisper":900,82:2753:0,3:0,62:0,07:"M:6:V"
5287:"Cosmaraith":6980:3158:0,3:0,64:0,05:"M:0:V"
4207:"Frostfang":374,615:4067:0,6:0,8:0,16:"K:3:V"
1187:"Cosmosith":31,7627:2443:0,2:0,06:0,02:"M:1:V"
7421:"Anubis' Radiance":1196,89:2659:0,1:0,33:0,04:"M:6:V"
5668:"Irena":476,3039:3330:0,3:0,39:0:"M:1:V"
2354:"Phantasmal Echo":54,2:3885:0,6:0,88:0,53:"K:5:V"
6914:"Nebula Nexus":870,322:2521:0,2:0,34:0,07:"M:0:V"
1691:"Pulsara":4670:2463:0,4:0,33:0,04:"M:2:V"
4719:"Orion's Haven":112,6:4630:0,7:0,82:0,36:"K:3:V"
7309:"Nebulonix":17,6316:2573:0,2:0,7:0,01:"M:5:V"
5783:"Itonda":156,66:2476:0,2:0,22:0,04:"M:1:V"
6173:"Denebola":586,2:2736:0,4:0,4:0,04:"M:2:V"
7307:"Vindemiatrix":34,8523:3845:0,5:0,71:0,32:"K:6:V"
8121:"Sakura Radiance":165,8:2607:0,3:0,63:0,07:"M:6:V"
8435:"Heze":1482,36:3361:0,2:0,32:0,03:"M:0:V"
1094:"Nebulith":1076,89:2638:0,3:0,24:0,05:"M:1:V"
6866:"Horna":219,95:3345:0,3:0:0,03:"M:0:V"
8458:"Inari's Cascade":123,202:3830:0,6:0,8:0,43:"K:0:V"
2879:"Bonsai Silence":582,377:2686:0,3:0,08:0:"M:7:V"
230:"Chasoň":350:2406:0,4:0,14:0,01:"M:2:V"
1353:"Lusitânia":1261,67:4060:0,6:0,95:0,13:"K:5:V"
3635:"Tegmine":7,0375:3943:0,8:0,95:0,36:"K:3:V"
1865:"Inari's Labyrinth":926,37:2517:0,2:0,13:0,08:"M:3:V"
1307:"Segin":7490:2715:0,4:0,37:0,02:"M:5:V"
6160:"Sagarmatha":791,64:3348:0,4:0,62:0,05:"M:2:V"
432:"Solarion":250,489:5333:1:1,08:0,7:"G:2:V"
5372:"Ankaa":645:3422:0,4:0,03:0,05:"M:1:V"
9077:"Kōkei Labyrinth":803,71:2682:0,1:0,53:0,02:"M:0:V"
251:"Theemin":1189:5367:1:1,01:0,61:"G:2:V"
6582:"Yed Posterior":485,319:2536:0,4:0,1:0,06:"M:8:V"
1894:"Hoshizora Seraph":637,024:3854:0,7:0,89:0,22:"K:2:V"
3010:"Ainalrami":396,2:5405:0,9:1,05:1,13:"G:2:V"
4752:"Hathor's Labyrinth":676,224:5297:0,9:1,05:0,67:"G:4:V"
6688:"Arkab Prior":24,3056:2572:0,1:0,09:0,01:"M:6:V"
9464:"Gienah":1398,8:3788:0,7:0,85:0,55:"K:2:V"
1882:"Chalawan":32,48:2814:0,2:0,63:0,03:"M:5:V"
2076:"Wolfheart":717,13:3121:0,2:0,42:0,02:"M:2:V"
1017:"Sekai Ember":100,01:5365:0,9:0,99:1,15:"G:2:V"
4288:"Photonara":640:2553:0,1:0,66:0,03:"M:5:V"
1516:"Cerulean Cryptic":504,312:3283:0,3:0,03:0,06:"M:2:V"
5981:"Helionara":983,174:3172:0,2:0,63:0,01:"M:3:V"
7076:"Brachium":1223,39:2700:0,2:0,59:0,07:"M:2:V"
5445:"Sorairo Mirage":3,6502:4343:0,7:0,79:0,5:"K:5:V"
7125:"Jabbah":1670:2515:0,4:0,68:0,05:"M:5:V"
6216:"Azelfafage":116,99:2802:0,2:0,08:0,05:"M:4:V"
3215:"Zenithariana":40,3661:4158:0,7:0,7:0,25:"K:5:V"
5329:"Maia":108,4:3198:0,3:0,36:0,01:"M:0:V"
2685:"Markab":683,4:2808:0,2:0,2:0:"M:0:V"
7413:"Belel":223,55:2807:0,1:0,54:0,08:"M:3:V"
4893:"Elysian Nebula":257,8:2976:0,1:0,41:0,05:"M:5:V"
7241:"Lunar Mirage":38,6:4013:0,7:0,8:0,34:"K:7:V"
6552:"Hawkfire":758,79:2617:0,2:0,43:0,05:"M:7:V"
2092:"Regulus":1302,83:2477:0,3:0,01:0,08:"M:8:V"
273:"Stribor":111,4:3143:0,2:0,28:0,07:"M:3:V"
7934:"Cervantes":362,087:2442:0,4:0,69:0,01:"M:1:V"
7433:"Aldulfin":434,28:2692:0,3:0,2:0,03:"M:2:V"
4774:"Exoplantra":532,42:2594:0,2:0,3:0,01:"M:5:V"
6719:"Taiyi":30,8:3769:0,6:0,77:0,24:"K:6:V"
7353:"Hannya's Silence":1503,53:5596:0,9:1,02:0,92:"G:4:V"
554:"Helionyx":321,9:2687:0,3:0,2:0,07:"M:3:V"
8502:"Ebla":1340:2711:0,1:0,36:0,07:"M:2:V"
1664:"Ain":79,5561:5392:0,8:1,12:0,8:"G:5:V"
1681:"Sāmaya":525,48:2572:0,3:0,62:0,05:"M:3:V"
8613:"Hayabusa Nexus":589,9:3267:0,1:0,45:0,08:"M:0:V"
4667:"Sakuya Nebula":270,7:2548:0,2:0,17:0,06:"M:3:V"
4342:"Darkonium":49,1:2861:0,4:0,01:0,01:"M:5:V"
4831:"Uchū Veil":706,391:3241:0,2:0,33:0,06:"M:1:V"
8086:"Aurora Phantasm":60,5:3780:0,5:0,93:0,08:"K:4:V"
2748:"Yugen":532,955:3399:0,4:0,23:0,08:"M:2:V"
9676:"Rapeto":141:3609:0,2:0,57:0,04:"M:0:V"
6120:"Yugure Radiance":1539,69:2878:0,4:0,36:0,01:"M:4:V"
5694:"Achernar":1018,95:2869:0,2:0,6:0,07:"M:5:V"
4739:"Solarianth":23,25:2688:0,4:0,45:0,08:"M:7:V"
6818:"Lyra":965,158:3399:0,2:0,21:0,07:"M:2:V"
1315:"Quantumara":712,708:3831:0,5:0,91:0,49:"K:7:V"
9823:"Quantraflux":387,252:4507:0,6:0,79:0,23:"K:3:V"
8343:"Blizzardclaw":59,58:2948:0,4:0,07:0,07:"M:3:V"
8530:"Alruba":189,186:2619:0,4:0,67:0,04:"M:5:V"
6437:"Astroth":1041,34:2585:0,3:0,31:0,08:"M:5:V"
5048:"Maasym":309,645:4206:0,6:0,86:0,45:"K:1:V"
8997:"Kasumi Whisper":421,763:4399:0,6:0,76:0,17:"K:2:V"
5072:"Barnard's Star":232,1:3808:0,5:0,84:0,14:"K:7:V"
1347:"Felis":549,722:5434:1:1,1:1,5:"G:2:V"
4182:"Alkes":85,3751:2472:0,3:0,63:0,02:"M:3:V"
6916:"Kaminari Enigma":120,6:3469:0,4:0,06:0,06:"M:1:V"
1819:"Inazuma Shadows":118,2:2678:0,2:0,33:0,05:"M:5:V"
4269:"Eagleeye":31,07:3197:0,2:0,37:0,05:"M:0:V"
9738:"Flegetonte":312,666:2654:0,1:0,07:0:"M:5:V"
9445:"Karaka":1196,74:2411:0,3:0,47:0,08:"M:1:V"
